phone_number,name,age,international_plan,voice_mail_plan,account_length,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn
373-8895,Melina,23,0,0,67,0,152.5,131,25.93,252.4,107,21.45,185.4,104,8.34,4.9,3,1.32,2,0
386-4581,Tequila,36,0,0,99,0,145.6,102,24.75,230.9,87,19.63,181.5,86,8.17,11.4,7,3.08,1,0
354-8191,Nathalie,27,0,0,46,0,164.2,116,27.91,196.2,153,16.68,236.1,119,10.62,8.1,1,2.19,1,0
359-7562,Valentina,21,1,0,55,0,221,115,37.57,165.4,97,14.06,235.4,117,10.59,9.7,4,2.62,1,0
359-4336,Kevin,38,0,0,39,0,295.4,126,50.22,232.1,117,19.73,204.4,123,9.2,11.5,2,3.11,1,1
336-9901,Tobie,30,0,0,92,0,139.8,98,23.77,174.9,143,14.87,201.6,135,9.07,9.4,7,2.54,2,0
406-3069,Maurine,35,0,0,56,0,162.3,99,27.59,149.1,78,12.67,255.5,115,11.5,14.8,1,4,4,1
334-6519,Colton,34,0,0,76,0,272.7,97,46.36,236.4,95,20.09,235.5,105,10.6,7.7,2,2.08,0,1
361-8113,Trevor,24,1,1,132,33,200.3,75,34.05,226.6,67,19.26,198.8,91,8.95,12.9,3,3.48,2,0
347-9769,Sharee,29,0,1,140,28,157.1,77,26.71,172.4,97,14.65,184.5,94,8.3,11.1,9,3,1,0
352-9130,Jesusita,23,1,1,51,12,135.8,60,23.09,200.6,134,17.05,192.4,98,8.66,12.3,7,3.32,2,0
378-4557,Shery,28,0,0,27,0,236.7,110,40.24,231.9,92,19.71,164.7,85,7.41,12.7,6,3.43,1,0
360-8919,Deon,27,0,0,224,0,111.4,133,18.94,175,66,14.88,217.2,106,9.77,5.5,6,1.49,3,0
405-4109,Ardath,37,1,1,105,28,156.1,89,26.54,107.1,114,9.1,167.7,95,7.55,14.7,3,3.97,0,1
381-2498,Jeremy,37,0,0,117,0,191.1,93,32.49,282.8,56,24.04,84.8,118,3.82,12,4,3.24,2,0
357-5696,Diamond,23,0,0,91,0,153,123,26.01,141.1,127,11.99,171.5,76,7.72,10.3,15,2.78,1,1
412-2947,Conception,27,0,0,135,0,218.8,123,37.2,242.8,64,20.64,85.8,80,3.86,10.3,3,2.78,4,0
363-3571,Jinny,33,0,0,146,0,205.4,101,34.92,134.9,77,11.47,310.5,83,13.97,10.3,2,2.78,3,0
405-5403,Alex,39,1,0,147,0,225.2,111,38.28,184.9,98,15.72,143.2,146,6.44,9.9,1,2.67,0,1
330-9354,Arleen,40,0,0,68,0,249.9,127,42.48,254.5,118,21.63,273.2,98,12.29,8.9,6,2.4,2,1
396-7091,Moshe,39,0,0,68,0,131.6,89,22.37,137,109,11.65,256.3,107,11.53,10.2,5,2.75,3,0
398-3004,Ivan,26,0,1,86,21,197.9,99,33.64,165.6,100,14.08,208,120,9.36,10.1,9,2.73,0,0
400-4020,Olinda,40,0,0,131,0,166.5,129,28.31,210.2,107,17.87,257.2,93,11.57,9.9,5,2.67,1,0
356-3448,Ned,21,0,1,86,29,225.4,79,38.32,187.1,112,15.9,281.1,112,12.65,12.9,3,3.48,1,0
335-2019,Ina,36,0,0,159,0,275.8,103,46.89,189.5,108,16.11,223.9,93,10.08,7.4,5,2,2,1
332-6633,Cherelle,32,0,1,134,40,142.9,105,24.29,88.6,61,7.53,290,96,13.05,10.8,6,2.92,1,0
359-7648,Danilo,21,0,0,113,0,207.2,113,35.22,256,80,21.76,211,87,9.49,9.9,1,2.67,1,0
412-9190,Zachary,20,0,0,132,0,206.2,100,35.05,211.2,118,17.95,196.2,122,8.83,10.2,6,2.75,1,0
368-9007,Lorenza,35,0,0,85,0,210.3,66,35.75,195.8,76,16.64,221.6,82,9.97,11.2,7,3.02,1,0
384-5632,Princess,25,1,1,93,38,225.7,117,38.37,119.6,122,10.17,193.2,125,8.69,14,7,3.78,1,1
352-6068,Cara,37,0,1,174,33,167.8,91,28.53,205.3,91,17.45,130,132,5.85,14.5,4,3.92,4,1
343-9645,Darin,29,0,0,61,0,197.7,118,33.61,152.2,96,12.94,221,93,9.95,7,3,1.89,2,0
384-7873,Kenton,20,0,1,91,39,169.8,105,28.87,65.2,116,5.54,144.4,92,6.5,10.9,4,2.94,1,0
396-2187,Winnie,34,0,1,88,28,190.6,104,32.4,237.3,105,20.17,211.6,116,9.52,9.8,1,2.65,2,0
383-5109,Laurie,24,0,1,88,45,80.3,140,13.65,153.3,101,13.03,309.2,123,13.91,12.8,3,3.46,2,0
377-7843,Dwight,30,0,1,195,36,231.7,110,39.39,225.1,88,19.13,201.7,89,9.08,12.1,2,3.27,0,0
382-7999,Araceli,37,0,0,182,0,69.1,114,11.75,230.3,109,19.58,256.7,96,11.55,6.5,4,1.76,0,0
328-1222,Warren,27,0,0,118,0,188.8,60,32.1,217.4,64,18.48,220.1,100,9.9,8.2,7,2.21,4,0
371-1727,Joella,33,0,0,103,0,150.6,125,25.6,169.1,126,14.37,221.2,104,9.95,10.4,8,2.81,8,1
369-8871,Andra,26,0,0,65,0,192,89,32.64,139.5,88,11.86,187.4,102,8.43,5.5,4,1.49,2,0
335-9726,Robyn,35,0,1,61,25,163.7,78,27.83,113.2,112,9.62,134.1,118,6.03,9.9,3,2.67,3,0
357-3709,Mickey,38,0,0,172,0,211.7,100,35.99,198.7,101,16.89,301.7,136,13.58,6.5,9,1.76,1,0
422-9964,Cris,20,0,0,72,0,175.5,103,29.84,132.3,120,11.25,242.9,96,10.93,11.8,3,3.19,1,0
366-9211,Michael,32,0,0,113,0,150.1,120,25.52,200.1,85,17.01,266.7,105,12,11,3,2.97,2,0
384-9033,Vernita,30,0,0,177,0,189.5,99,32.22,176.3,117,14.99,225.9,112,10.17,14.2,2,3.83,1,0
382-4932,Hortensia,32,0,0,100,0,70.8,94,12.04,215.6,102,18.33,230.8,125,10.39,9.5,1,2.57,6,1
404-7518,Trinidad,32,0,0,67,0,215.5,102,36.64,190.7,95,16.21,214.5,106,9.65,8.6,6,2.32,1,0
353-1954,Zulma,24,0,0,136,0,101.7,105,17.29,202.8,99,17.24,136.2,119,6.13,9.4,6,2.54,3,0
391-7166,Deandrea,28,0,0,71,0,258.4,132,43.93,126.8,119,10.78,182.4,87,8.21,9.7,8,2.62,4,0
370-9000,Jacinda,37,0,0,134,0,242.4,126,41.21,152.9,115,13,318.3,115,14.32,11.8,6,3.19,1,0
332-3642,Cinda,39,0,0,124,0,131.8,82,22.41,284.3,119,24.17,305.5,101,13.75,11.3,2,3.05,1,0
412-3898,Hershel,25,0,0,84,0,190.2,102,32.33,197.7,141,16.8,247.5,102,11.14,9.8,6,2.65,2,0
366-5640,Gaye,24,0,0,39,0,154.1,104,26.2,204.2,112,17.36,196.2,92,8.83,9.8,4,2.65,2,0
356-2302,Jade,26,0,0,110,0,188,127,31.96,90.5,118,7.69,150.3,64,6.76,15.3,3,4.13,3,0
345-9018,Donita,37,0,0,102,0,103.1,70,17.53,275,129,23.38,141.1,92,6.35,11.2,5,3.02,1,0
365-6205,Ella,33,0,0,70,0,175.4,130,29.82,159.5,130,13.56,260.6,96,11.73,11.6,4,3.13,0,0
337-1151,Colleen,32,0,0,142,0,145.4,93,24.72,209.1,98,17.77,214,96,9.63,10.9,1,2.94,1,0
374-4664,Laila,26,1,0,81,0,250.6,85,42.6,187.9,50,15.97,120.3,131,5.41,7.8,5,2.11,1,0
396-9656,Herschel,37,0,0,17,0,161.5,123,27.46,214.2,81,18.21,315,106,14.18,8.6,5,2.32,1,0
377-5043,Leonardo,38,0,0,119,0,260.1,101,44.22,256.5,68,21.8,229.1,89,10.31,10,2,2.7,1,1
401-7359,Lee,20,0,0,105,0,281.3,124,47.82,301.5,96,25.63,202.8,109,9.13,8.7,3,2.35,0,1
375-2184,Terina,35,1,1,108,42,130.1,90,22.12,167,128,14.2,244.7,80,11.01,13.6,5,3.67,3,1
367-6005,Brian,34,0,0,90,0,102,118,17.34,113.3,134,9.63,188.6,105,8.49,11.4,3,3.08,2,0
364-2166,Chere,31,0,1,100,33,218.7,104,37.18,155,144,13.18,99,117,4.46,12.1,4,3.27,1,0
414-4741,Marshall,22,0,1,155,30,128.5,86,21.85,188.4,91,16.01,254.4,85,11.45,6.8,6,1.84,1,0
403-9719,Bryce,29,0,0,113,0,128.7,100,21.88,227.1,67,19.3,178.1,135,8.01,9.2,4,2.48,2,1
371-8452,Rey,32,0,0,123,0,172.2,92,29.27,162.6,76,13.82,250.3,101,11.26,8.7,4,2.35,1,0
392-6239,Taunya,39,0,0,145,0,199.2,124,33.86,126,86,10.71,289.2,135,13.01,7.6,3,2.05,1,0
410-5250,Claribel,32,0,0,42,0,184.5,98,31.37,200.5,93,17.04,279.2,91,12.56,8.8,3,2.38,2,0
336-1574,Kenisha,35,0,0,125,0,168.6,99,28.66,175.6,107,14.93,243.3,92,10.95,10.9,7,2.94,0,0
406-8324,Ebonie,33,0,1,131,30,174,118,29.58,205.3,81,17.45,218.2,90,9.82,6.7,3,1.81,1,0
411-7110,Hiedi,23,0,0,107,0,230.4,65,39.17,257.4,80,21.88,107.3,88,4.83,8.5,3,2.3,1,0
341-9907,Despina,35,0,0,48,0,198.2,73,33.69,202.8,115,17.24,146.4,73,6.59,5.1,5,1.38,1,0
400-8952,Wesley,21,0,0,76,0,186.1,96,31.64,211.6,100,17.99,230.6,100,10.38,8,4,2.16,0,0
333-9266,Katheleen,21,0,0,128,0,148.5,105,25.25,243,106,20.66,255.2,114,11.48,6.8,2,1.84,1,0
419-4894,Dorotha,37,0,0,73,0,157.1,109,26.71,268.8,83,22.85,181.5,91,8.17,10,8,2.7,0,0
364-9904,Carlee,22,0,0,52,0,155,110,26.35,133.4,104,11.34,176.1,84,7.92,7,4,1.89,4,1
394-3048,Denice,26,1,1,126,26,129.3,123,21.98,176.5,114,15,154.5,102,6.95,9.6,7,2.59,1,0
352-6265,Brandie,36,0,0,124,0,188.5,77,32.05,182,123,15.47,218.2,127,9.82,6.1,6,1.65,1,0
357-3187,Rodrigo,21,0,0,137,0,208.8,120,35.5,225.3,100,19.15,221.6,130,9.97,11.1,5,3,0,0
373-8483,Leisa,25,0,0,71,0,238,82,40.46,278.5,94,23.67,193.1,134,8.69,11.8,10,3.19,0,1
375-9930,Ruby,30,0,0,139,0,211.1,103,35.89,206.9,108,17.59,193.9,70,8.73,5.6,4,1.51,0,0
352-6282,Johnnie,24,0,1,107,30,198.9,87,33.81,207,90,17.6,159.8,76,7.19,12.6,4,3.4,3,0
396-2945,Latoria,34,0,0,147,0,212.8,79,36.18,204.1,91,17.35,156.2,113,7.03,10.2,2,2.75,1,0
412-3527,Robbin,20,0,0,116,0,137.4,126,23.36,120,94,10.2,130.3,64,5.86,12.4,2,3.35,3,0
328-4231,Nita,36,0,1,60,31,191.8,75,32.61,267.8,135,22.76,200.5,62,9.02,12.8,3,3.46,2,0
413-9055,Dwana,23,0,0,38,0,149,92,25.33,49.2,78,4.18,163.3,93,7.35,13.9,11,3.75,0,0
363-8755,Maynard,39,0,0,63,0,117.1,118,19.91,249.6,90,21.22,162.2,84,7.3,11.1,4,3,3,0
388-8891,Chasidy,22,0,0,94,0,108,79,18.36,241.9,152,20.56,252.1,92,11.34,10.4,3,2.81,3,0
360-1776,Altha,33,0,0,131,0,112.8,133,19.18,199.4,116,16.95,142.7,105,6.42,10.1,5,2.73,0,0
411-3578,Chanell,25,0,0,158,0,175.9,105,29.9,188.3,88,16.01,188.3,98,8.47,11,6,2.97,1,0
399-7268,Manuela,27,0,0,139,0,236.6,109,40.22,169.9,107,14.44,212.3,118,9.55,11.1,2,3,1,1
350-1532,Clayton,37,0,0,77,0,169.4,102,28.8,184.9,144,15.72,234.3,89,10.54,2,7,0.54,1,0
359-2197,Malinda,22,0,0,140,0,129.6,79,22.03,246.2,99,20.93,172.1,124,7.74,9.4,10,2.54,3,0
407-9290,Ozella,21,0,0,72,0,177.1,97,30.11,184.7,105,15.7,174.1,94,7.83,8,6,2.16,1,0
358-6672,Keva,38,0,1,52,20,133.3,63,22.66,184.1,123,15.65,272.9,107,12.28,13.5,2,3.65,1,0
393-4621,Cathrine,22,0,0,103,0,167.8,121,28.53,212.9,123,18.1,208.2,73,9.37,13,3,3.51,5,0
336-7357,Etsuko,20,0,1,74,32,174.6,107,29.68,310.6,115,26.4,234.7,92,10.56,9,4,2.43,1,0
351-1466,Digna,26,0,0,124,0,150.3,101,25.55,255.9,112,21.75,136.7,62,6.15,12.5,4,3.38,2,0
394-6668,Joel,39,0,1,85,21,283.2,110,48.14,239.7,108,20.37,149.5,80,6.73,6.3,1,1.7,5,0
403-2673,Sharen,21,0,1,113,20,157.8,83,26.83,161.5,56,13.73,271.5,100,12.22,8.7,2,2.35,5,1
355-1735,Genia,26,0,0,71,0,141.2,132,24,149.1,90,12.67,171.4,72,7.71,7,2,1.89,2,0
416-7679,Erich,23,0,1,177,27,230.2,106,39.13,196.1,78,16.67,215.4,108,9.69,10.4,2,2.81,1,0
340-4972,Cari,25,1,0,49,0,237.8,92,40.43,208.9,119,17.76,167.8,86,7.55,15.6,6,4.21,2,1
417-4826,Danny,27,1,0,106,0,204,84,34.68,168.5,61,14.32,164,102,7.38,13.3,3,3.59,3,1
408-6676,Damaris,33,0,0,60,0,221.1,106,37.59,178.6,48,15.18,202.7,90,9.12,7.4,3,2,1,0
417-6683,Joanie,28,0,0,43,0,177.2,93,30.12,142.6,60,12.12,314.1,144,14.13,12.7,2,3.43,4,0
331-6270,Leonida,40,0,0,66,0,118,133,20.06,248.1,99,21.09,214.4,122,9.65,5.3,5,1.43,1,0
404-9754,Tammie,25,0,0,125,0,163.8,73,27.85,255.6,85,21.73,192.9,95,8.68,15.7,4,4.24,0,0
364-9425,Tiffanie,37,0,1,114,4,141.3,96,24.02,230.4,88,19.58,223.7,85,10.07,9.4,3,2.54,3,0
339-6477,Lynette,36,0,0,112,0,272.5,119,46.33,226.1,94,19.22,159.1,94,7.16,16.4,5,4.43,3,1
362-2787,Jenell,39,0,1,101,16,118.9,112,20.21,228.3,97,19.41,180.1,111,8.1,8.2,5,2.21,2,0
405-9233,Bradly,33,0,0,70,0,7.9,100,1.34,136.4,83,11.59,156.6,89,7.05,12.1,1,3.27,0,0
416-1845,Jacinta,24,0,0,59,0,159.5,96,27.12,167.2,123,14.21,138.6,106,6.24,10.2,4,2.75,0,0
385-9657,Birgit,39,0,0,59,0,150.2,70,25.53,185.7,98,15.78,212.5,128,9.56,12.1,2,3.27,1,0
420-5652,Debi,39,0,1,124,30,144.5,35,24.57,262.3,101,22.3,226.5,82,10.19,12,7,3.24,2,0
415-1141,Beatris,33,0,0,99,0,140.7,88,23.92,210.9,98,17.93,229.9,125,10.35,12.4,4,3.35,2,0
334-5634,Wen,33,0,0,150,0,169.2,123,28.76,216.8,83,18.43,179.4,107,8.07,12.6,3,3.4,1,0
403-4200,Sherrell,26,0,0,81,0,220.8,77,37.54,148.5,87,12.62,183.9,100,8.28,7.6,3,2.05,2,0
357-7893,Leonila,21,0,0,86,0,216.3,96,36.77,266.3,77,22.64,214,110,9.63,4.5,3,1.22,0,0
369-2899,Antonette,25,0,0,84,0,169.5,96,28.82,157.6,94,13.4,98.2,70,4.42,10.6,7,2.86,0,0
381-1026,Carri,29,0,1,118,35,256.3,119,43.57,258.1,91,21.94,215.5,130,9.7,11.7,1,3.16,1,0
388-8722,Luna,21,0,0,89,0,179.7,128,30.55,299.8,92,25.48,185.3,120,8.34,7.6,3,2.05,1,0
418-3135,Kacie,36,0,0,93,0,266,120,45.22,130.1,84,11.06,165.8,63,7.46,13.1,6,3.54,3,0
380-3974,Ewa,21,0,0,85,0,96.7,97,16.44,193.8,95,16.47,171.7,88,7.73,9.7,3,2.62,2,0
338-7232,Emanuel,22,0,0,160,0,82.7,116,14.06,194.6,95,16.54,159,54,7.15,10.9,9,2.94,0,0
334-5223,Veda,20,0,0,28,0,168.2,87,28.59,161.7,92,13.74,192.4,112,8.66,10.1,3,2.73,3,0
340-8323,Gala,28,0,0,73,0,286.4,109,48.69,178.2,67,15.15,214.2,152,9.64,10.7,14,2.89,1,1
337-6851,Leon,33,0,0,156,0,174.3,95,29.63,186.6,128,15.86,258.2,105,11.62,12.9,5,3.48,3,0
344-5973,Ula,21,1,0,33,0,190.6,100,32.4,161.7,104,13.74,189.9,136,8.55,13,6,3.51,1,0
335-2261,Lekisha,37,0,0,77,0,175.5,86,29.84,205.1,78,17.43,245.2,100,11.03,17.8,3,4.81,4,0
343-1458,Trina,35,0,0,119,0,133.4,102,22.68,204.6,71,17.39,196.9,103,8.86,11.1,7,3,1,0
415-4875,Joye,40,0,1,91,27,204.6,96,34.78,136,93,11.56,210.5,82,9.47,6.6,2,1.78,3,0
381-2726,Xiao,37,0,0,102,0,242.2,88,41.17,233.2,89,19.82,188.5,121,8.48,6.2,6,1.67,3,0
395-3852,Eloy,34,0,1,86,33,253.1,112,43.03,210.1,94,17.86,95,98,4.27,11.9,4,3.21,3,0
358-7914,Maudie,40,0,0,82,0,130,110,22.1,185.3,88,15.75,178.7,105,8.04,8.3,4,2.24,0,0
332-6958,Stephaine,31,0,0,89,0,105.9,151,18,189.6,142,16.12,170.9,67,7.69,12.7,7,3.43,0,0
355-1019,Refugio,33,0,0,86,0,194.2,98,33.01,193.8,95,16.47,192,123,8.64,9.3,7,2.51,3,0
382-9447,Timika,23,0,0,134,0,183.8,111,31.25,123.5,92,10.5,160.7,105,7.23,6.1,2,1.65,1,0
386-8536,Dario,38,0,0,92,0,196.5,82,33.41,190,89,16.15,163.2,99,7.34,10.8,2,2.92,2,0
363-3818,Shanna,37,0,0,87,0,184.5,81,31.37,172,103,14.62,183.4,96,8.25,13.7,3,3.7,3,0
360-6416,Kandice,21,0,0,64,0,261.9,113,44.52,148.1,99,12.59,145.2,74,6.53,13.8,4,3.73,0,0
332-8764,Lazaro,31,0,0,80,0,202.4,118,34.41,260.2,67,22.12,177.4,112,7.98,9.2,5,2.48,3,0
398-4814,Elodia,32,0,1,165,39,167.4,113,28.46,172.7,94,14.68,192.6,113,8.67,9.5,4,2.57,3,0
410-5963,Octavia,22,0,1,153,22,167.7,104,28.51,246.8,91,20.98,203.9,117,9.18,7.5,11,2.03,1,0
399-6642,Kimi,20,0,1,41,30,191.7,109,32.59,193,86,16.41,149.4,93,6.72,11.1,4,3,1,0
390-9986,Shaneka,26,0,0,108,0,240.2,78,40.83,230.3,109,19.58,217,83,9.76,5.2,1,1.4,2,0
391-1793,Dan,30,0,1,104,26,189.1,112,32.15,178.2,97,15.15,199.3,104,8.97,11.1,4,3,1,0
352-5542,Waylon,37,0,0,115,0,127.7,67,21.71,182.9,90,15.55,172.9,92,7.78,10.6,7,2.86,1,0
386-8118,Hector,33,0,0,87,0,205.2,106,34.88,99.5,122,8.46,189.5,75,8.53,13.4,3,3.62,1,0
394-9825,Faye,38,0,1,159,23,153.6,93,26.11,216.9,88,18.44,161.3,91,7.26,12.6,3,3.4,2,0
382-4952,Kendrick,38,0,0,119,0,154.5,129,26.27,193.6,87,16.46,180.9,145,8.14,13.4,3,3.62,2,0
387-2698,Latisha,37,0,0,69,0,153.7,109,26.13,194,105,16.49,256.1,114,11.52,14.1,6,3.81,1,0
417-1360,Kasi,23,1,1,87,36,171.2,138,29.1,185.8,102,15.79,227.6,97,10.24,10.8,3,2.92,1,0
408-4836,Susanne,37,0,0,93,0,328.1,106,55.78,151.7,89,12.89,303.5,114,13.66,8.7,3,2.35,1,1
374-8329,Eva,40,1,0,154,0,145.9,69,24.8,208.2,141,17.7,180.9,106,8.14,14.4,10,3.89,0,1
363-8424,Ayako,24,0,1,57,37,201.2,76,34.2,280.1,122,23.81,154.2,110,6.94,11.8,1,3.19,1,0
408-8910,Tyrone,38,0,0,130,0,139.1,72,23.65,246,112,20.91,207.2,121,9.32,11.4,9,3.08,5,0
399-3840,Sanjuana,37,0,0,151,0,118.9,128,20.21,278.3,65,23.66,194.8,61,8.77,13.2,10,3.56,2,0
367-8692,Shirlee,27,0,0,162,0,217.6,87,36.99,279,71,23.72,250.7,65,11.28,10.4,4,2.81,2,1
387-4504,Evelia,38,0,0,60,0,145,133,24.65,209.1,92,17.77,328.5,112,14.78,14.6,2,3.94,1,0
328-2647,Kalyn,39,0,0,81,0,203.5,89,34.6,289.6,69,24.62,212.9,71,9.58,8.7,3,2.35,3,0
369-7903,Noelia,36,0,0,132,0,240.1,115,40.82,180.4,91,15.33,133.4,122,6,8,6,2.16,3,0
399-6852,Janay,29,0,0,86,0,83.8,121,14.25,240.2,96,20.42,158.6,108,7.14,6.7,8,1.81,1,0
335-4888,Royce,20,0,0,136,0,269.8,106,45.87,228.8,101,19.45,257.5,106,11.59,10.1,8,2.73,1,1
344-2260,Joana,40,0,1,121,21,126.3,84,21.47,209.6,102,17.82,192.5,129,8.66,10.6,2,2.86,1,0
349-4070,Leonor,25,0,1,105,15,88.1,125,14.98,175.9,142,14.95,269.9,85,12.15,9.7,1,2.62,2,0
394-6505,Shirl,24,0,1,105,34,218.5,61,37.15,196.7,74,16.72,151.1,103,6.8,9.9,4,2.67,2,0
419-3612,Kaycee,36,0,1,51,26,236.8,61,40.26,263.4,97,22.39,181.1,91,8.15,11.2,8,3.02,1,0
356-1952,Lizbeth,24,0,0,64,0,124.1,117,21.1,192.8,108,16.39,162.9,84,7.33,6.4,5,1.73,3,0
416-7866,Sydney,31,1,1,80,30,184.2,132,31.31,167.5,109,14.24,212.8,114,9.58,10,10,2.7,0,0
398-1759,Sanda,33,0,0,56,0,222.7,133,37.86,277,89,23.55,101.8,94,4.58,13.6,4,3.67,4,0
338-9950,Lucille,35,0,0,120,0,149.2,98,25.36,193.6,88,16.46,248.9,119,11.2,11.1,5,3,1,0
412-7278,Mi,27,0,0,103,0,206.5,125,35.11,180.2,113,15.32,220.6,95,9.93,12.2,4,3.29,3,0
347-1263,Rufina,33,0,1,164,27,159.7,102,27.15,168.8,113,14.35,244.1,127,10.98,9.6,9,2.59,3,0
386-5684,Garland,21,0,1,116,27,204.7,118,34.8,209.4,91,17.8,212.9,67,9.58,7,2,1.89,2,0
334-4354,Esmeralda,40,0,0,121,0,213.2,79,36.24,120.7,116,10.26,244.4,102,11,7.5,4,2.03,1,0
398-5970,Carmelia,25,1,0,55,0,269.6,121,45.83,171.7,91,14.59,219,98,9.86,8.2,6,2.21,1,0
330-3429,Chang,32,0,0,183,0,116.7,92,19.84,213.8,112,18.17,214.3,112,9.64,9.7,6,2.62,2,0
418-4637,Eveline,37,0,0,104,0,263.4,101,44.78,235.5,117,20.02,102,146,4.59,13,4,3.51,0,0
393-7322,Toby,33,0,0,90,0,140.2,97,23.83,213.9,102,18.18,120,126,5.4,7.1,2,1.92,1,0
353-5557,Venessa,31,0,0,82,0,197.7,101,33.61,127.6,83,10.85,142.1,103,6.39,13.5,3,3.65,1,0
411-5334,Ferne,29,0,0,101,0,136.2,92,23.15,220.9,110,18.78,196.9,116,8.86,13.3,7,3.59,3,0
398-8588,Kecia,21,0,1,9,16,88.5,87,15.05,178.8,108,15.2,228.7,96,10.29,11.5,3,3.11,2,0
374-7285,Lupita,35,0,0,97,0,215.3,58,36.6,242.4,91,20.6,279.8,105,12.59,12.1,9,3.27,0,0
379-7215,Althea,35,0,0,94,0,269.2,104,45.76,193.8,144,16.47,257.6,61,11.59,8.9,2,2.4,3,1
357-7875,Gudrun,32,0,1,127,25,203.8,118,34.65,267.1,48,22.7,225.1,105,10.13,7.3,5,1.97,0,0
393-9677,Eunice,22,0,1,125,34,268.4,112,45.63,222.2,108,18.89,117.6,102,5.29,10.3,3,2.78,0,0
345-9598,Graciela,21,0,0,140,0,159.1,104,27.05,269.8,106,22.93,220.4,116,9.92,10.3,4,2.78,1,0
353-3203,Frances,34,0,0,90,0,114.4,122,19.45,127.7,154,10.85,253.1,109,11.39,10.1,5,2.73,2,0
330-7486,Mitchell,36,0,0,67,0,138.9,65,23.61,208.9,109,17.76,232.4,82,10.46,9.2,3,2.48,2,0
397-6425,Tena,39,0,0,113,0,186,55,31.62,237.4,105,20.18,148.1,83,6.66,12.2,6,3.29,1,0
338-1815,Teresia,22,0,1,121,26,170.4,91,28.97,254.5,90,21.63,219.6,122,9.88,15.1,5,4.08,0,0
406-5023,Maureen,30,0,0,93,0,164.5,95,27.97,230.9,87,19.63,149.9,91,6.75,9.9,3,2.67,4,0
368-2458,Dani,26,0,0,121,0,168.6,121,28.66,168.6,94,14.33,95.3,59,4.29,12.3,4,3.32,1,0
400-8375,Diane,21,0,0,53,0,261.2,119,44.4,250.8,105,21.32,176,112,7.92,9.8,2,2.65,0,1
387-8201,Johana,23,0,0,75,0,190.5,91,32.39,178.4,75,15.16,162.4,113,7.31,13.1,5,3.54,1,0
346-4360,Earlie,39,0,0,132,0,181.1,121,30.79,314.4,109,26.72,246.7,81,11.1,4.2,9,1.13,2,0
412-8811,Kristyn,20,0,0,162,0,177.1,131,30.11,114.7,122,9.75,153.6,88,6.91,6.5,6,1.76,3,0
413-3990,Geri,27,0,0,140,0,160.5,114,27.29,240.5,103,20.44,233.5,121,10.51,11.3,4,3.05,1,0
345-2448,Sherrill,28,0,0,91,0,134.7,116,22.9,295.3,98,25.1,195.5,121,8.8,6.6,5,1.78,2,0
394-4512,Tora,32,0,1,73,28,198.2,107,33.69,139.1,123,11.82,199.1,139,8.96,8.8,1,2.38,2,0
400-8538,Hildegard,30,1,0,95,0,228.9,134,38.91,255.7,71,21.73,208,120,9.36,10.1,2,2.73,4,1
412-8769,Sharmaine,32,0,0,145,0,241.7,137,41.09,135.8,100,11.54,277.6,123,12.49,13.1,3,3.54,0,0
390-1552,Del,22,0,0,100,0,131.1,108,22.29,176.2,81,14.98,89.7,81,4.04,4.3,4,1.16,1,0
389-2477,Eleanor,30,0,0,122,0,234.1,101,39.8,200.2,121,17.02,237.4,89,10.68,13.1,9,3.54,2,0
389-4695,Jamila,36,0,0,109,0,200.1,72,34.02,300.9,120,25.58,236,68,10.62,11.9,5,3.21,0,0
406-8037,Long,32,0,0,82,0,154,107,26.18,94.4,114,8.02,287.6,95,12.94,10.1,7,2.73,1,0
382-9138,Jane,35,0,1,65,23,224.2,106,38.11,189.6,100,16.12,222.8,75,10.03,9.8,4,2.65,0,0
414-7942,Soledad,34,0,0,52,0,148.3,83,25.21,181.6,79,15.44,155.6,104,7,8.3,6,2.24,3,0
348-7071,Malia,30,0,1,136,24,174.6,76,29.68,176.6,114,15.01,214.4,91,9.65,8.8,5,2.38,2,0
404-2942,Lupe,40,0,0,75,0,138.5,110,23.55,153.2,86,13.02,215.6,103,9.7,11.1,7,3,1,0
348-3581,Jamee,24,0,0,146,0,109,69,18.53,265.8,98,22.59,228.3,80,10.27,12.6,2,3.4,1,0
327-6764,Susan,30,0,0,105,0,162.3,99,27.59,212.5,95,18.06,214.7,114,9.66,11.1,8,3,4,0
405-2831,Madalene,20,0,0,48,0,210.8,84,35.84,189.6,98,16.12,157.6,99,7.09,16.4,3,4.43,2,0
416-4351,Sherise,38,0,0,45,0,142.4,107,24.21,318.7,78,27.09,224.1,108,10.08,11.1,7,3,1,0
419-3196,Clay,20,0,1,106,37,223.5,104,38,235.1,99,19.98,140.1,90,6.3,10.6,5,2.86,2,0
411-6211,Caroyln,38,0,0,33,0,182.5,65,31.03,232.1,96,19.73,149.2,82,6.71,7.5,2,2.03,2,0
391-8369,Annmarie,25,0,0,68,0,219.6,97,37.33,141.1,144,11.99,205.7,101,9.26,10.8,4,2.92,2,0
416-4464,Clyde,31,0,0,106,0,193.6,66,32.91,238.2,82,20.25,176.4,107,7.94,12.9,3,3.48,0,0
